,Date,Visit Number,Product,Visitor_ID,CSource,State,Day,Month,Year,State Code
170,"January 1, 2018",3,Personal,379166663927031103_8559159539690830846,unknown,new york ,January,1,2018,51
171,"January 1, 2018",6,Personal,244039257953140145_4445347671426554554,unknown,california ,January,1,2018,51
173,"January 1, 2018",2,Refinance,9212851439110544762_5268157934903191265,unknown,alabama ,January,1,2018,51
174,"January 1, 2018",1,Personal,5071758134653118705_482864636711070900,unknown,new jersey ,January,1,2018,51
175,"January 1, 2018",8,Personal,5142181463213474820_7470911514338409174,unknown,alabama ,January,1,2018,51
176,"January 1, 2018",1,Refinance,5200138341095712665_6306749497596295204,unknown,illinois ,January,1,2018,51
178,"January 1, 2018",1,Refinance,4531881145702166705_6521185667712418825,unknown,texas ,January,1,2018,51
179,"January 1, 2018",1,Personal,8694692442035772856_2764560574351793273,unknown,washington ,January,1,2018,51
181,"January 1, 2018",4,Personal,8757353973434915186_219743699405169120,unknown,kansas ,January,1,2018,51
182,"January 1, 2018",4,Auto,4165085039312209462_4731641900082351245,unknown,florida ,January,1,2018,51
183,"January 1, 2018",1,Personal,844357110_2140199949,unknown,illinois ,January,1,2018,51
184,"January 1, 2018",1,Refinance,1148376796_2140199949,unknown,wisconsin ,January,1,2018,51
185,"January 1, 2018",2,Personal,2424016869135628718_7615962306475797005,unknown,california ,January,1,2018,51
186,"January 1, 2018",1,Refinance,1826012594_2140199949,unknown,illinois ,January,1,2018,51
187,"January 1, 2018",1,unknown,1664058301_3108078097,unknown,indiana ,January,1,2018,51
188,"January 1, 2018",2,Refinance,2922572568_3045849152,unknown,tennessee ,January,1,2018,51
189,"January 1, 2018",1,Personal,8700961318045074252_4034548376425873826,unknown,georgia ,January,1,2018,51
190,"January 1, 2018",2,Refinance,6987790864626776027_6353377168662339486,unknown,kentucky ,January,1,2018,51
191,"January 1, 2018",2,Refinance,5150152406507667071_6584181161911472302,unknown,florida ,January,1,2018,51
192,"January 1, 2018",7,Personal,4273235028361320469_1099488863615366981,unknown,georgia ,January,1,2018,51
193,"January 1, 2018",29,Personal,9014511772323774429_6817021089005351638,unknown,new york ,January,1,2018,51
194,"January 1, 2018",1,Personal,1674248326_1757275329,unknown,michigan ,January,1,2018,51
195,"January 1, 2018",1,Personal,2932674406_1297668922,unknown,maryland ,January,1,2018,51
196,"January 1, 2018",1,Refinance,1203986765_1259791983,unknown,california ,January,1,2018,51
197,"January 1, 2018",1,Personal,7033478044593625799_6531599012953034120,unknown,new york ,January,1,2018,51
198,"January 1, 2018",5,Personal,2475765430133214684_3408454627878343004,unknown,nevada ,January,1,2018,51
199,"January 1, 2018",2,Personal,1287235334_3358254737,unknown,texas ,January,1,2018,51
200,"January 1, 2018",6,Refinance,1428504501191535004_585872921224555934,unknown,new york ,January,1,2018,51
202,"January 1, 2018",2,Personal,1407883928055424491_3367023989504679934,unknown,oklahoma ,January,1,2018,51
203,"January 1, 2018",10,Personal,4175822089824424547_9108100352452646596,unknown,arkansas ,January,1,2018,51
204,"January 1, 2018",3,Refinance,6282419848375094390_1821777856262893157,unknown,california ,January,1,2018,51
205,"January 1, 2018",2,Personal,393455539_1199449128,unknown,michigan ,January,1,2018,51
206,"January 1, 2018",4,Personal,4020899669164261501_2901822438242414919,unknown,new york ,January,1,2018,51
